alpha,b_size,layer_size,lr,num_layer,result
-3.005268626437284,390.0,23.0,-1.774316629468178,14.0, 0.02797202797202798
-3.326709462352029,190.0,94.0,-4.019534957590796,15.0, 0.032167832167832165
-3.357402622432513,390.0,22.0,-3.6074826744181236,6.0, 0.023776223776223772
-2.836494414306202,390.0,20.0,-2.5934315122569904,11.0, 0.023776223776223772
-4.632649164966008,390.0,29.0,-3.676170198653939,7.0, 0.026573426573426605
-5.99022822105578,190.0,96.0,-1.8520662125866818,16.0, 0.05874125874125875
-6.02097955534891,190.0,96.0,-1.8167119107812517,16.0, 0.03776223776223777
-6.86962279148805,390.0,29.0,-2.0011421657623747,7.0, 0.03356643356643356
-6.276039138998753,390.0,28.0,-4.861352702221619,14.0, 0.20279720279720279
-6.824499639870373,390.0,29.0,-2.046668783499283,7.0, 0.018181818181818143
-2.5888134898665984,330.0,94.0,-4.290454089889952,8.0, 0.043356643356643354
-2.546979758588423,330.0,94.0,-4.246470664354134,9.0, 0.036363636363636376
-2.5504695610166395,330.0,94.0,-4.241695272809235,9.0, 0.01958041958041956
-2.54761435962559,330.0,94.0,-4.2354209038604145,9.0, 0.022377622377622374
-4.185166408793454,330.0,93.0,-3.2884903645224104,5.0, 0.020979020979020956
-2.553851015591317,330.0,94.0,-4.246047988898508,9.0, 0.03356643356643359
-5.594309466455511,340.0,22.0,-2.9148862856885347,4.0, 0.032167832167832165
-3.7331955388972737,330.0,90.0,-2.698518344627048,3.0, 0.039160839160839164
-3.7264561069377717,330.0,91.0,-2.6982135013584063,3.0, 0.03356643356643359
-5.843214669582617,390.0,29.0,-3.0926871155987845,7.0, 0.023776223776223772
-4.6183170714366195,410.0,49.0,-2.413461046148025,3.0, 0.018181818181818143
-4.972048302931544,390.0,23.0,-1.0,9.0, 0.03776223776223777
-5.0563498820259785,390.0,23.0,-1.0,9.0, 0.0797202797202797
-2.6534788781898384,190.0,94.0,-4.765972438823378,18.0, 0.023776223776223772
-3.9279320842517658,190.0,91.0,-2.0145464804193374,16.0, 0.029370629370629377
-3.9299446667922724,190.0,91.0,-2.020318331741488,16.0, 0.02797202797202798
