alpha,b_size,layer_size,lr,num_layer,result
-5.6420918325634375,350,91,-3.8757724854183255,1, 0.027972027972028024
-5.516468078464745,310.0,79.0,-1.5257998904845562,8.0, 0.013986013986013957
-2.8842839925565937,370.0,96.0,-3.568063349287871,14.0, 0.04895104895104896
-5.353359767856838,310.0,79.0,-1.6694598491164545,8.0, 0.020979020979020935
-1.8648527172647174,190,43,-1.873626902563459,11, 0.034965034965035
-1.0,80.0,26.0,-2.1676434391501616,13.0, 0.05594405594405594
-2.7205509690707417,270.0,51.0,-2.1887872663745016,6.0, 0.013986013986013957
-3.3120811081966024,370.0,97.0,-4.144536980256977,13.0, 0.034965034965035
-3.1533194415333314,270.0,50.0,-2.4553206069308615,4.0, 0.013986013986013957
-3.7288276487277274,300,52,-2.7622172228853668,18, 0.027972027972028024
-2.0749551912333377,360,21,-5.247429889960488,18, 0.3706293706293706
-2.8077405380640377,440.0,26.0,-5.124742417672413,19.0, 0.6013986013986015
-5.78391777688234,260.0,53.0,-2.1738357538214643,13.0, 0.020979020979020935
-2.4555284020047763,110,57,-2.8856668485695405,1, 0.013986013986013957
-3.26035740140801,440.0,26.0,-2.167120633963631,19.0, 0.034965034965035
-2.9104193344424427,270.0,50.0,-2.4285301813467948,5.0, 0.013986013986013957
-3.037419236802243,440.0,26.0,-3.6232461664127413,19.0, 0.04195804195804198
-6.503801021074769,310.0,78.0,-1.0821618554726995,9.0, 0.04895104895104896
-2.1903993834872213,230,38,-4.283081986579129,2, 0.027972027972028024
-5.69079108445138,310.0,79.0,-1.5497849359733535,9.0, 0.020979020979020935
-4.911519389155624,410,47,-2.605976118975027,17, 0.027972027972028024
-4.18956400070729,270.0,52.0,-2.962224347252695,5.0, 0.020979020979020935
-5.483808161336514,310.0,79.0,-1.8989089787366307,11.0, 0.013986013986013957
-2.3839362392397128,110.0,55.0,-2.539667627282481,2.0, 0.034965034965035
-2.304758635089177,150.0,40.0,-2.378176356872925,19.0, 0.020979020979020935
-1.6729704514208938,330,99,-3.2977007498590285,12, 0.034965034965035
-5.5417561221064195,310.0,81.0,-1.0,8.0, 0.3846153846153846
-2.987651468276919,280.0,41.0,-3.155847076836346,3.0, 0.027972027972028024
-3.7830083941771355,140,32,-3.9468154433088065,18, 0.04895104895104896
-2.220582806558923,310.0,79.0,-2.464993254363656,8.0, 0.027972027972028024
-3.820007486486732,140,33,-3.1076242284254345,18, 0.034965034965035
-3.7037822206052398,280.0,40.0,-3.241616569568516,4.0, 0.034965034965035
-3.9884144989134955,220,87,-3.061759722426663,16, 0.05594405594405594
-2.6325179367796827,250,25,-2.0218487843759627,5, 0.013986013986013957
-5.206527076433776,180.0,27.0,-3.629621891247115,19.0, 0.013986013986013957
-3.1610253232529177,270.0,51.0,-2.534857231197327,5.0, 0.013986013986013957
-1.8485030922676837,490,34,-2.760585854468651,11, 0.013986013986013957
-3.0705120741579703,270.0,51.0,-4.439693333796749,5.0, 0.034965034965035
-1.0604301296613676,80.0,26.0,-3.1605639249804662,12.0, 0.020979020979020935
-3.3141423709845337,270.0,50.0,-2.835256383392161,5.0, 0.027972027972028024
-2.007639884162631,470,94,-3.3730178590214264,7, 0.034965034965035
-4.9919456088259295,180.0,27.0,-1.7246362081576654,18.0, 0.027972027972028024
-2.538127110623269,270.0,50.0,-2.1803125445556994,5.0, 0.05594405594405594
-3.4043868683802674,240,23,-1.3026193249287823,12, 0.027972027972028024
-1.0,80.0,26.0,-2.9315186336641563,10.0, 0.027972027972028024
-1.1963403283813896,280.0,43.0,-3.7836545466586555,5.0, 0.034965034965035
-2.22922206618983,490.0,34.0,-3.07917369548831,11.0, 0.027972027972028024
-1.4276041043505492,490.0,34.0,-2.4083847623927506,11.0, 0.020979020979020935
-4.031303701504402,180.0,28.0,-3.8443974495395636,17.0, 0.020979020979020935
-4.907313275292716,180.0,29.0,-3.0428197972361075,19.0, 0.027972027972028024
-2.477307632004179,280.0,42.0,-3.350899864362718,4.0, 0.013986013986013957
