C,gamma,result
-2.123275385372852,-6.044079869834831, 0.26315789473684204
-6.268181882517565,-3.420140017141134, 0.10526315789473684
-4.473392248281843,-1.6049188623320219, 0.26315789473684204
-6.288257673261599,-3.434826862318405, 0.2894736842105263
-6.2895645407159275,-3.429522047153934, 0.26315789473684204
-7.824712552629766,-0.3970946530250384, 0.21052631578947367
-6.293643270139011,-3.4374441257064268, 0.5
-6.277165630457569,-3.4325934345468188, 0.26315789473684204
-3.801102168971455,-3.9370433674660257, 0.23684210526315785
-2.259902751156829,-5.8997922319363925, 0.2894736842105263
-2.298679091057148,-5.7394186620139935, 0.1842105263157895
-4.1722444911166585,-4.893861781460229, 0.2894736842105263
-2.2936368399994658,-5.85543988574447, 0.23684210526315785
-2.2972301365365078,-5.778079716706874, 0.3157894736842105
-6.915710136546395,-7.589018058896169, 0.2894736842105263
-2.275344910506309,-5.878195266650336, 0.21052631578947367
-2.313220493750035,-5.727591607709179, 0.631578947368421
-4.778038330373391,-2.9567232994054224, 0.26315789473684204
-1.5078744495746632,-4.365831836631205, 0.21052631578947367
-6.193883326964703,-3.2429273431489976, 0.26315789473684204
-1.0890586910802906,-4.67421236253106, 0.2894736842105263
-1.517197257900102,-4.366425800918208, 0.5789473684210527
-1.627850053284611,-4.3707780537657746, 0.26315789473684204
-7.030911676808502,-1.0856704156391939, 0.26315789473684204
-6.167994535099018,-3.1935170758758313, 0.23684210526315785
-6.206749378054291,-3.2157011543297904, 0.26315789473684204
-0.6476912155489059,-5.531168725047805, 0.21052631578947367
-6.185527148108853,-3.149251612640951, 0.26315789473684204
-6.200718173976075,-3.188144750732921, 0.5
-0.15684550791486496,-3.72144798313579, 0.23684210526315785
-3.0854517397913392,-2.4007987691147297, 0.26315789473684204
-2.994204718187227,-2.3308163673058284, 0.26315789473684204
-1.771313317886169,-1.4612407147816222, 0.26315789473684204
-7.9451391306995225,-0.04063464449412635, 0.26315789473684204
-2.8774297909359947,-2.2133017955367436, 0.21052631578947367
-7.520360516998877,-6.9357579854331535, 0.2894736842105263
0.0,-4.467360952247969, 0.2894736842105263
-2.8670070537894805,-2.1925040394310105, 0.26315789473684204
-4.364796280161258,-1.8773792614237665, 0.26315789473684204
-7.9736555072993145,-0.10180975374429124, 0.21052631578947367
-2.903110759490289,-2.1756579271495435, 0.2894736842105263
